"","leadGram","gram","Record"
"130152","around the","country",3
"130225","is probably","because",3
"130373","allowed them","to",3
"130383","them to","keep",3
"130393","had developed","a",3
"130400","the breakdown","of",3
"130419","and all","sorts",3
"130494","on me","to",3
"130508","to allow","the",3
"130563","but instead","a",3
"130583","you who","read",3
"130665","wondering about","the",3
"130691","it was","strange",3
"130861","couple years","back",3
"130871","at least","was",3
"130878","understand just","how",3
"130882","my skin","was",3
"131033","i was","invited",3
"131040","was invited","to",3
"131157","that needed","to",3
"131167","image of","our",3
"131211","will run","out",3
"131217","one but","two",3
"131266","all the","wrong",3
"131267","and fulfillment","in",3
"131277","the wrong","places",3
"131282","and with","whom",3
"131295","problem with","it",3
"131302","he was","here",3
"131326","need to","come",3
"131340","see it","coming",3
"131347","have come","in",3
"131379","i meant","to",3
"131391","its basically","a",3
"131446","every so","often",3
"131494","i know","not",3
"131499","not everyone","agrees",3
"131523","the lid","and",3
"131528","for minutes","on",3
"131545","stick with","it",3
"131605","the right","hand",3
"131617","subject matter","of",3
"131660","it was","of",3
"131663","of the","devil",3
"131668","was of","the",3
"131688","daughter of","a",3
"131724","child of","god",3
"131768","on the","air",3
"131851","everything that","could",3
"131906","i was","driving",3
"131929","to work","next",3
"131940","get to","their",3
"131963","and from","that",3
"132016","his head","in",3
"132030","north dakota","rentals",3
"132034","the williston","north",3
"132035","williston north","dakota",3
"132046","thats why","they",3
"132109","use the","bathroom",3
"132122","into a","million",3
"132123","is the","thing",3
"132127","that keeps","me",3
"132139","its its","its",3
"132141","the future","is",3
"132149","lot like","the",3
"132152","welcome to","the",3
"132228","able to","function",3
"132294","into the","recovery",3
"132319","down to","their",3
"132336","i keep","going",3
"132339","keep going","back",3
"132348","but im","really",3
"132355","far ive","been",3
"132357","levels in","the",3
"132380","going in","to",3
"132383","my mind","about",3
"132402","struggle with","anxiety",3
"132403","times that","i",3
"132478","between it","and",3
"132510","issue was","that",3
"132515","transition from","the",3
"132521","in all","fairness",3
"132523","of thing","is",3
"132579","about it","because",3
"132584","im thinking","about",3
"132588","didnt give","it",3
"132593","into the","building",3
"132594","it much","thought",3
"132599","the way","into",3
"132601","a step","closer",3
"132618","he then","went",3
"132630","but it","should",3
"132759","this will","do",3
"132817","glad i","went",3
"132839","i was","discharged",3
"132846","i probably","wouldnt",3
"132890","are attached","to",3
"132918","play with","it",3
"132924","able to","distinguish",3
"132932","the person","would",3
"132933","to distinguish","between",3
"132953","the moment","in",3
"132961","in a","heavy",3
"133019","he and","my",3
"133049","i then","looked",3
"133096","to no","end",3
"133104","is of","a",3
"133119","mummy and","daddy",3
"133123","the important","things",3
"133163","from the","army",3
"133165","have formed","a",3
"133180","there does","not",3
"133192","to defend","itself",3
"133205","the ban","on",3
"133206","the lessons","of",3
"133298","our country","has",3
"133319","days i","have",3
"133320","few days","i",3
"133321","fight for","the",3
"133350","building blocks","of",3
"133407","the brink","of",3
"133427","about three","weeks",3
"133491","process of","writing",3
"133497","feelings that","i",3
"133529","we will","just",3
"133587","a sign","from",3
"133604","in the","press",3
"133642","of the","president",3
"133661","the point","in",3
"133720","a network","of",3
"133770","we feel","like",3
"133831","in my","right",3
"133845","see if","anyone",3
"133854","law of","the",3
"133872","would be","considered",3
"133935","is really","an",3
"133967","think of","anyone",3
"134000","and love","that",3
"134009","they be","able",3
"134089","to a","degree",3
"134098","put a","new",3
"134111","this particular","story",3
"134132","in the","fire",3
"134182","to communicate","to",3
"134184","a scene","in",3
"134203","and end","of",3
"134236","remember i","was",3
"134249","he said","well",3
"134261","born on","june",3
"134272","a major","part",3
"134357","the following","weekend",3
"134363","but due","to",3
"134396","a study","abroad",3
"134423","in a","city",3
"134453","not good","for",3
"134473","i have","discovered",3
"134474","likes to","be",3
"134477","to be","active",3
"134525","refers to","it",3
"134600","put on","by",3
"134633","good job","of",3
"134652","coral reefs","and",3
"134803","can get","for",3
"134821","the film","as",3
"134903","though and","it",3
"134907","is a","terrible",3
"134944","know you","have",3
"134947","walked into","a",3
"134967","film is","a",3
"134988","one and","it",3
"134992","or they","will",3
"135026","four to","six",3
"135056","i waited","in",3
"135090","were about","the",3
"135109","we all","wanted",3
"135121","of it","it",3
"135193","almost a","year",3
"135214","after a","quick",3
"135252","been a","few",3
"135268","run into","each",3
"135283","was with","him",3
"135400","is an","insult",3
"135404","a sophomore","in",3
"135411","sophomore in","high",3
"135415","better in","a",3
"135438","started going","to",3
"135447","me at","that",3
"135464","a symptom","of",3
"135482","on my","teeth",3
"135550","have the","money",3
"135579","hurt at","all",3
"135617","have in","a",3
"135628","but i","keep",3
"135632","put on","that",3
"135689","super proud","of",3
"135706","a care","in",3
"135709","care in","the",3
"135712","out and","play",3
"135716","without a","care",3
"135726","hands and","my",3
"135762","me a","few",3
"135768","to answer","this",3
"135794","lot of","hard",3
"135853","to where","he",3
"135932","his pride","and",3
"136008","to her","friends",3
"136049","is warm","and",3
"136066","see in","a",3
"136075","ready to","let",3
"136086","off of","it",3
"136186","back of","his",3
"136191","of the","back",3
"136243","the ball","over",3
"136244","the last","set",3
"136280","that was","being",3
"136304","maybe i","was",3
"136314","said well","thats",3
"136317","when he","realized",3
"136320","does make","me",3
"136324","me very","happy",3
"136336","take to","the",3
"136412","the park","design",3
"136418","from the","park",3
"136422","the buildings","are",3
"136427","all the","buildings",3
"136461","decided to","continue",3
"136495","on the","mswearjarive",3
"136501","a paper","in",3
"136509","paper in","my",3
"136513","year of","college",3
"136631","they think","that",3
"136652","say it","in",3
"136669","the first","stage",3
"136690","does not","help",3
"136694","in mind","and",3
"136729","case it","is",3
"136741","also serve","as",3
"136760","to relate","to",3
"136825","so while","we",3
"136831","by the","front",3
"136841","when we","stopped",3
"136911","if she","did",3
"136936","home of","the",3
"136937","of the","national",3
"136992","i turn","the",3
"137012","my heart","i",3
"137130","as a","reader",3
"137155","forcing him","to",3
"137195","see this","in",3
"137230","heart and","soul",3
"137246","what he","would",3
"137247","where he","would",3
"137263","the old","covenant",3
"137284","is why","they",3
"137388","was glad","he",3
"137406","keep it","in",3
"137415","of that","a",3
"137427","had to","sit",3
"137437","was a","better",3
"137446","saying that","she",3
"137453","change from","the",3
"137474","tailor made","for",3
"137492","to an","interview",3
"137568","them its","a",3
"137569","this and","he",3
"137574","did that","and",3
"137584","an issue","with",3
"137587","had an","issue",3
"137608","shocked at","the",3
"137611","was a","much",3
"137644","so close","and",3
"137655","through so","many",3
"137699","visit with","my",3
"137706","stopped in","to",3
"137729","she made","me",3
"137743","could see","that",3
"137746","i mentioned","this",3
"137750","she could","see",3
"137775","the way","from",3
"137811","it gets","even",3
"137822","ive heard","in",3
"137851","is very","rare",3
"137867","still i","was",3
"137906","proud of","him",3
"137910","was very","proud",3
"137928","create a","critter",3
"138000","im a","sucker",3
"138008","all the","great",3
"138028","on the","playground",3
"138051","i moved","on",3
"138061","door and","into",3
"138099","trying to","walk",3
"138178","i did","enjoy",3
"138187","of the","magical",3
"138195","a lot","at",3
"138210","the description","of",3
"138216","in the","books",3
"138217","information can","be",3
"138251","descriptions of","the",3
"138289","reached the","point",3
"138350","and happened","to",3
"138358","be a","bad",3
"138361","my day","was",3
"138389","check out","their",3
"138405","know what","else",3
"138408","to cover","it",3
"138411","what else","to",3
"138416","i was","late",3
"138432","that are","still",3
"138462","at am","in",3
"138502","a house","in",3
"138511","dining room","to",3
"138566","i watched","this",3
"138569","show in","the",3
"138634","one place","where",3
"138673","our lives","to",3
"138692","those around","me",3
"138732","she said","in",3
"138746","would i","want",3
"138756","to how","i",3
"138815","find someone","to",3
"138827","will never","find",3
"138842","an eye","out",3
"138871","thats just","because",3
"138888","man trying","to",3
"138896","list of","favorite",3
"138912","notes on","the",3
"138925","its a","testament",3
"139079","how important","is",3
"139096","do i","like",3
"139120","of the","inhabitants",3
"139173","it can","give",3
"139294","it is","unclear",3
"139311","think that","she",3
"139317","home with","her",3
"139403","him away","from",3
"139415","given up","and",3
"139423","but instead","i",3
"139453","i cant","begin",3
"139507","dare i","say",3
"139549","eastern europe","and",3
"139556","the countries","of",3
"139610","them to","their",3
"139616","it so","hard",3
"139640","for their","children",3
"139647","their lives","for",3
"139720","seen it","before",3
"139726","and back","to",3
"139745","of the","tour",3
"139753","days in","paris",3
"139761","well as","our",3
"139794","so we","might",3
"139795","there so","we",3
"139815","my home","town",3
"139837","yes i","still",3
"139851","oh no","we",3
"139900","a drink","or",3
"139911","they really","need",3
"139919","less than","hours",3
"139936","another thing","i",3
"139982","plan is","to",3
"140004","i hit","a",3
"140005","seems that","i",3
"140015","in a","second",3
"140035","being done","in",3
"140071","this isnt","it",3
"140078","in a","vacuum",3
"140130","and in","time",3
"140192","and reduce","the",3
"140213","the thickness","of",3
"140237","to medium","and",3
"140261","i mean","that",3
"140277","i should","like",3
"140303","at the","shops",3
"140354","that in","this",3
"140401","bring it","to",3
"140434","talking to","them",3
"140444","case you","havent",3
"140454","was almost","the",3
"140472","you if","youre",3
"140476","but i","came",3
"140478","did but","i",3
"140481","i did","but",3
"140501","was waiting","to",3
"140520","against the","law",3
"140524","i said","well",3
"140644","being stuck","in",3
"140649","i hate","being",3
"140664","i dont","quite",3
"140673","can learn","to",3
"140677","i can","learn",3
"140688","teachers pay","teachers",3
"140697","up but","i",3
"140703","leave me","a",3
"140742","few months","i",3
"140774","fan of","his",3
"140780","wished i","could",3
"140783","as a","guide",3
"140796","working my","way",3
"140835","spite of","all",3
"140969","down the","hall",3
"140975","the hall","to",3
"140978","to hear","and",3
"140979","and her","friend",3
"141001","to run","to",3
"141023","clear that","we",3
"141024","indeed in","the",3
"141162","jesus christ","to",3
"141290","a normal","life",3
"141303","is that","too",3
"141304","much to","ask",3
"141316","the words","in",3
"141334","luckily for","me",3
"141346","and its","rare",3
"141361","design of","the",3
"141388","four years","later",3
"141390","i also","asked",3
"141442","not to","share",3
"141472","with having","to",3
"141477","realize that","they",3
"141491","of art","that",3
"141541","we thought","was",3
"141542","what we","thought",3
"141560","i bought","in",3
"141590","the image","i",3
"141621","me around","the",3
"141631","his hands","in",3
"141663","had a","way",3
"141668","to throw","at",3
"141721","last i","heard",3
"141769","there are","new",3
"141872","was just","going",3
"141896","around and","walked",3
"141916","but my","muscles",3
"141941","see what","she",3
"141966","and we","saw",3
"141990","but theyre","really",3
"142010","at least","its",3
"142014","here in","town",3
"142046","few of","my",3
"142101","for themselves","and",3
"142109","themselves and","their",3
"142162","that i","live",3
"142168","is very","popular",3
"142187","village and","the",3
"142208","has to","work",3
"142211","of our","little",3
"142263","meant that","the",3
"142289","the world","for",3
"142308","make the","trip",3
"142312","the trip","and",3
"142342","in an","area",3
"142347","work in","an",3
"142388","are my","favorite",3
"142496","as an","old",3
"142533","look at","some",3
"142642","or so","it",3
"142647","the choice","is",3
"142653","to happen","in",3
"142661","running with","the",3
"142740","looking out","the",3
"142817","not expect","to",3
"142859","but instead","of",3
"142874","this recipe","for",3
"142905","and nothing","more",3
"143016","after hearing","the",3
"143066","evident in","the",3
"143095","beer is","a",3
"143133","like to","drink",3
"143134","more times","to",3
"143140","to drink","this",3
"143152","were off","the",3
"143188","the thing","with",3
"143218","the images","in",3
"143232","who are","interested",3
"143233","would be","for",3
"143385","my kids","to",3
"143390","thats not","how",3
"143426","as you","need",3
"143451","i can","look",3
"143495","they told","her",3
"143549","first and","last",3
"143565","his decision","to",3
"143597","the blame","on",3
"143629","night there","was",3
"143660","i thought","well",3
"143664","she must","be",3
"143665","shrugged it","off",3
"143677","finally got","a",3
"143722","to some","other",3
"143749","in the","tv",3
"143820","wondering how","i",3
"143823","again in","my",3
"143825","i just","knew",3
"143888","never thought","of",3
"143889","of him","as",3
"143891","thought of","him",3
"143902","stay with","the",3
"143916","next up","a",3
"143960","i have","managed",3
"143983","of everything","in",3
"144011","the site","is",3
"144054","knows what","a",3
"144068","to force","myself",3
"144084","i can","and",3
"144088","can look","like",3
"144116","and be","like",3
"144145","i ordered","a",3
"144178","do at","least",3
"144182","i do","at",3
"144207","the office","at",3
"144247","the yard","and",3
"144271","have heard","the",3
"144311","out and","work",3
"144333","got back","home",3
"144369","had to","hand",3
"144403","say about","her",3
"144456","most people","know",3
"144495","it was","exactly",3
"144518","gone to","the",3
"144607","that the","show",3
"144653","to bring","out",3
"144663","the quickest","way",3
"144690","to the","person",3
"144700","to be","born",3
"144736","to cook","and",3
"144770","not look","at",3
"144775","and they","want",3
"144814","days or","so",3
"144964","that could","go",3
"145001","will say","is",3
"145032","they are","probably",3
"145045","is worth","a",3
"145079","singing for","the",3
"145082","who had","just",3
"145179","was only","the",3
"145223","this last","week",3
"145225","and why","was",3
"145234","what in","the",3
"145242","seemed to","understand",3
"145254","i instantly","got",3
"145258","of the","face",3
"145293","that lives","in",3
"145308","are many","and",3
"145350","had always","been",3
"145357","challenged me","to",3
"145366","wonder why","i",3
"145404","i sent","the",3
"145439","taken by","the",3
"145486","in a","bid",3
"145514","the change","in",3
"145524","lives on","the",3
"145551","we arrived","in",3
"145604","my review","of",3
"145620","a kid","who",3
"145660","as we","continue",3
"145694","going on","vacation",3
"145702","are some","very",3
"145733","were waiting","for",3
"145752","the people","were",3
"145810","what im","seeing",3
"145820","notes that","there",3
"145841","is determined","by",3
"145858","for an","old",3
"145884","it doesnt","always",3
"145936","an advocate","for",3
"145950","know more","about",3
"145970","and i","talk",3
"145993","wife and","mother",3
"146025","to the","international",3
"146057","when i","graduated",3
"146063","so they","would",3
"146111","we have","become",3
"146186","good reason","for",3
"146205","end up","on",3
"146234","is always","the",3
"146243","a physical","therapist",3
"146272","at all","as",3
"146275","is their","first",3
"146372","kind of","pain",3
"146378","to a","greater",3
"146388","pswearjar it","on",3
"146411","my camera","and",3
"146517","filled with","an",3
"146636","is what","got",3
"146643","to raise","a",3
"146723","the world","had",3
"146725","was gone","and",3
"146757","is named","after",3
"146758","it is","named",3
"146845","enough to","look",3
"146861","to vote","for",3
"146906","to use","your",3
"146965","didnt have","it",3
"146967","it because","its",3
"146988","as i","pondered",3
"147042","has been","able",3
"147046","an enemy","that",3
"147052","the family","to",3
"147095","ahead with","the",3
"147097","are you","sure",3
"147099","me are","you",3
"147105","all to","be",3
"147113","you all","to",3
"147125","through my","entire",3
"147131","im better","than",3
"147132","its not","because",3
"147142","no one","should",3
"147143","one should","be",3
"147218","the life","and",3
"147233","the last","minutes",3
"147248","the inception","of",3
"147254","back up","the",3
"147271","he pointed","out",3
"147378","to go","visit",3
"147380","would not","go",3
"147404","to new","orleans",3
"147447","i just","made",3
"147451","of an","inch",3
"147454","the card","stock",3
"147460","case you","are",3
"147526","pearls to","the",3
"147535","happen and","i",3
"147540","to happen","and",3
"147550","and proud","of",3
"147585","to his","clswearjar",3
"147648","put back","into",3
"147653","will be","my",3
"147810","the job","and",3
"147812","couldnt see","it",3
"147893","find out","where",3
"147894","mission to","find",3
"147920","the second","generation",3
"148022","need to","become",3
"148052","you think","it",3
"148077","the good","people",3
"148122","by his","first",3
"148123","by the","second",3
"148142","and each","of",3
"148143","as a","common",3
"148185","was born","to",3
"148241","the curse","of",3
"148289","we can","come",3
"148309","why the","hell",3
"148341","how the","game",3
"148461","of time","for",3
"148498","the public","school",3
"148499","time to","show",3
"148530","other than","our",3
"148542","meeting new","people",3
"148561","and dry","and",3
"148593","influence of","the",3
"148673","time on","his",3
"148755","it got","me",3
"148758","couple of","friends",3
"148760","got in","touch",3
"148777","many many","years",3
"148805","far too","much",3
"148811","too much","like",3
"148844","so lucky","to",3
"148880","i posted","about",3
"148881","id give","you",3
"148898","used the","same",3
"148989","of the","business",3
"149002","in the","five",3
"149049","and noted","that",3
"149052","final episode","of",3
"149080","but i","figured",3
"149082","figured it","was",3
"149085","not but","i",3
"149101","within the","next",3
"149143","in case","i",3
"149157","maybe a","bit",3
"149216","with joy","and",3
"149223","that he","never",3
"149242","the rush","of",3
"149261","more confident","and",3
"149264","but he","never",3
"149351","think of","us",3
"149379","it for","granted",3
"149380","one day","but",3
"149382","will take","it",3
"149414","fits into","the",3
"149422","a good","movie",3
"149437","the movie","but",3
"149455","has to","walk",3
"149462","to walk","the",3
"149478","to the","murder",3
"149496","to the","present",3
"149500","and he","returns",3
"149504","he returns","to",3
"149554","on like","a",3
"149620","the dead","and",3
"149721","realized that","my",3
"149728","decided to","return",3
"149742","for now","and",3
"149753","does not","include",3
"149754","her blog","and",3
"149765","to a","day",3
"149780","a little","bored",3
"149803","got into","it",3
"149806","more i","got",3
"149815","part of","something",3
"149825","they will","learn",3
"149828","almost done","with",3
"149831","leads me","to",3
"149930","strengths and","weaknesses",3
"149946","going through","this",3
"149953","the reader","that",3
"149972","i cannot","help",3
"149974","of my","son",3
"150048","months and","months",3
"150064","the good","lord",3
"150085","begins in","the",3
"150097","world war","i",3
"150101","of us","to",3
"150108","desperately wanted","to",3
"150121","there wasnt","anything",3
"150137","are only","one",3
"150152","and said","you",3
"150159","thought for","a",3
"150184","are called","the",3
"150210","for dinner","or",3
"150222","we wait","to",3
"150262","dead in","his",3
"150266","his name","was",3
"150279","in a","dog",3
"150308","them to","stop",3
"150378","occasion it","was",3
"150384","this occasion","it",3
"150388","and the","relationship",3
"150403","and his","crew",3
"150472","years from","the",3
"150528","was very","nice",3
"150530","and excited","to",3
"150594","i liked","about",3
"150628","alone in","my",3
"150647","to walk","to",3
"150665","to work","it",3
"150666","try to","work",3
"150686","something i","dont",3
"150715","park and","the",3
"150719","today and","i",3
"150729","swimming in","the",3
"150732","and smelling","the",3
"150775","little house","on",3
"150789","i miss","her",3
"150807","a maze","of",3
"150819","and fell","asleep",3
"150870","feel like","all",3
"150913","right and","i",3
"150920","say this","was",3
"150948","and grew","up",3
"150950","early age","and",3
"150957","can feed","her",3
"150963","sorts of","jobs",3
"150968","for their","meals",3
"150999","now have","a",3
"151045","up till","now",3
"151062","my daily","life",3
"151084","because you","cant",3
"151098","as the","music",3
"151111","they began","to",3
"151131","in to","our",3
"151147","the menu","was",3
"151182","when they","arrived",3
"151341","wanting to","get",3
"151400","like one","big",3
"151423","can tell","what",3
"151445","of a","blog",3
"151488","they wont","get",3
"151540","well if","i",3
"151551","things out","and",3
"151565","bed at","night",3
"151597","out of","which",3
"151614","and i","forgot",3
"151616","forgot all","about",3
"151643","to be","responsible",3
"151667","that will","keep",3
"151732","for not","doing",3
"151734","make me","happy",3
"151761","see how","far",3
"151771","not like","my",3
"151774","all is","not",3
"151799","will do","that",3
"151820","is now","on",3
"151869","one day","at",3
"151912","goes to","bed",3
"151999","a stranger","and",3
"152011","then he","will",3
"152018","for you","is",3
"152043","the nature","and",3
"152078","to behave","in",3
"152097","our children","have",3
"152111","if she","doesnt",3
"152128","each time","we",3
"152179","at all","since",3
"152231","when i","began",3
"152260","and hope","for",3
"152284","just that","i",3
"152314","serve the","lord",3
"152399","issues raised","by",3
"152542","i soon","realized",3
"152549","i had","friends",3
"152558","and handle","the",3
"152623","high school","when",3
"152632","i would","only",3
"152690","done the","same",3
"152702","on our","first",3
"152734","he had","come",3
"152758","by the","lord",3
"152795","not have","had",3
"152799","a man","that",3
"152826","he had","taken",3
"152866","in and","on",3
"152890","the high","court",3
"152891","unlikely that","the",3
"152899","they were","used",3
"152915","before you","can",3
"152922","to build","the",3
"152923","you can","play",3
"152945","people from","my",3
"152951","and do","a",3
"152989","it actually","was",3
"153003","im also","very",3
"153010","very interested","in",3
"153045","loved ones","and",3
"153050","you for","letting",3
"153204","to the","race",3
"153215","was afraid","of",3
"153216","all the","little",3
"153242","my parents","there",3
"153271","in clswearjar","and",3
"153273","letting me","know",3
"153277","went on","in",3
"153278","what went","on",3
"153281","and id","like",3
"153287","is bright","and",3
"153325","it in","one",3
"153333","who specialize","in",3
"153351","and my","phone",3
"153370","not in","fact",3
"153396","i go","through",3
"153420","to ask","why",3
"153449","and asked","about",3
"153460","a check","for",3
"153461","and send","me",3
"153494","got out","and",3
"153587","thanks to","our",3
"153599","for another","time",3
"153603","story for","another",3
"153614","so i","spent",3
"153628","was not","letting",3
"153641","her home","she",3
"153644","on a","ship",3
"153668","on the","ice",3
"153694","a higher","level",3
"153722","create a","new",3
"153729","of all","my",3
"153740","of his","first",3
"153816","she was","only",3
"153818","was close","to",3
"153854","was not","good",3
"153867","with white","and",3
"153888","particular type","of",3
"153978","but neither","of",3
"153982","neither of","these",3
"154009","of the","estate",3
"154018","but then","she",3
"154084","sheamus hits","the",3
"154238","does not","get",3
"154300","when a","new",3
"154302","are out","and",3
"154303","be surprised","how",3
"154325","like that","would",3
"154332","a story","or",3
"154345","to get","good",3
"154358","this from","the",3
"154373","he tells","his",3
"154402","cream of","the",3
"154408","suppose to","be",3
"154524","gone to","bed",3
"154535","im not","as",3
"154538","this way","but",3
"154553","it never","fails",3
"154560","year and","it",3
"154562","few people","have",3
"154625","were placed","in",3
"154743","looked to","be",3
"154754","i turned","into",3
"154806","books to","read",3
"154846","that you","find",3
"154925","to life","and",3
"154936","to see","many",3
"155007","it to","anyone",3
"155013","along with","an",3
"155032","no one","will",3
"155049","will not","only",3
"155069","in this","together",3
"155082","how long","will",3
"155152","the right","in",3
"155159","hard in","the",3
"155161","make ends","meet",3
"155166","to make","ends",3
"155214","as a","regular",3
"155239","using the","same",3
"155258","to resolve","the",3
"155279","taken out","of",3
"155310","when my","kids",3
"155321","but i","say",3
"155351","she laughed","and",3
"155375","at best","a",3
"155406","spent the","entire",3
"155474","the desert","and",3
"155476","wanted to","die",3
"155485","with a","three",3
"155516","pictures of","them",3
"155532","of these","children",3
"155606","the end","its",3
"155619","three days","after",3
"155628","but my","husband",3
"155629","dont remember","how",3
"155637","remember how","long",3
"155639","there but","my",3
"155730","relating to","the",3
"155751","the jfk","swearjarswearjarination",3
"155764","was when","she",3
"155821","daughters name","was",3
"155900","how to","cook",3
"155940","about the","lack",3
"155969","is made","up",3
"155977","your connection","to",3
"155981","thing that","they",3
"156000","on the","loose",3
"156028","we know","and",3
"156078","the tower","was",3
"156096","brick and","mortar",3
"156124","of the","location",3
"156127","sure of","the",3
"156181","she got","to",3
"156214","sell in","the",3
"156231","have only","been",3
"156384","i was","under",3
"156392","under the","impression",3
"156501","for obvious","reasons",3
"156508","to check","my",3
"156534","are available","at",3
"156640","one hand","the",3
"156728","of the","content",3
"156804","of the","application",3
"156820","to me","asking",3
"156841","myself out","of",3
"156913","the clock","was",3
"156942","next to","his",3
"156952","are taught","to",3
"156959","they are","taught",3
"156970","idea that","they",3
"157018","each other","up",3
"157068","in the","subject",3
"157084","month of","may",3
"157102","will be","announced",3
"157152","was an","awesome",3
"157180","we found","that",3
"157228","that the","internet",3
"157296","and right","now",3
"157318","year and","its",3
"157334","at our","local",3
"157342","could have","saved",3
"157369","the decision","of",3
"157380","i have","called",3
"157398","this border","town",3
"157434","laws of","physics",3
"157507","a book","or",3
"157525","of what","this",3
"157540","to gain","a",3
"157561","i started","getting",3
"157631","that the","more",3
"157700","at the","helm",3
"157710","where we","will",3
"157742","and i","quickly",3
"157756","lady who","was",3
"157772","and to","think",3
"157779","was worried","about",3
"157799","explain to","me",3
"157855","its very","difficult",3
"157867","it deserves","to",3
"157868","its a","difficult",3
"157905","proceeded to","give",3
"157923","then went","back",3
"157941","at am","to",3
"157999","away from","where",3
"158015","people make","me",3
"158026","of their","faith",3
"158037","made it","very",3
"158039","my big","belly",3
"158046","very hard","for",3
"158086","on this","beer",3
"158128","much for","me",3
"158182","she loves","it",3
"158202","excited and","nervous",3
"158204","it like","a",3
"158213","because i","will",3
"158220","the master","of",3
"158232","others but","i",3
"158255","be reminded","that",3
"158318","i remembered","how",3
"158377","comes up","with",3
"158387","with her","mind",3
"158403","the beginning","but",3
"158421","work at","the",3
"158427","people who","came",3
"158437","me over","and",3
"158445","the times","they",3
"158569","addition to","this",3
"158598","to see","those",3
"158604","some time","before",3
"158636","the greatest","film",3
"158653","make him","a",3
"158666","none of","which",3
"158667","of which","were",3
"158698","she changed","her",3
"158744","see the","doctor",3
"158750","who was","on",3
"158827","his car","and",3
"158844","we got","out",3
"158850","of a","movie",3
"158852","this is","like",3
"158973","that i","bought",3
"158982","i printed","out",3
"158992","a finishing","touch",3
"159014","me on","facebook",3
"159117","two minutes","of",3
"159147","top hat","and",3
"159179","light on","the",3
"159194","to ignore","the",3
"159280","various forms","of",3
"159292","about six","months",3
"159314","this time","they",3
"159343","a way","out",3
"159350","oil shock","absorber",3
"159431","to run","in",3
"159442","to change","her",3
"159480","how to","protect",3
"159484","to protect","him",3
"159514","to undo","the",3
"159526","others to","get",3
"159530","a rare","thing",3
"159574","the point","i",3
"159578","wanted to","crawl",3
"159669","stop by","my",3
"159732","wait for","them",3
"159759","was a","sweet",3
"159768","i made","two",3
"159815","go to","any",3
"159817","so now","if",3
"159849","like a","girl",3
"159905","we wonder","why",3
"159906","why we","have",3
"159948","that even","when",3
"159950","those pieces","are",3
"159961","you see","here",3
"160052","at this","site",3
"160092","to the","studio",3
"160106","you can","bet",3
"160164","and dont","forget",3
"160168","dont forget","the",3
"160248","my parents","would",3
"160280","and looked","around",3
"160285","looked around","for",3
"160316","first up","was",3
"160388","thought of","as",3
"160438","them if","you",3
"160453","turn of","the",3
"160484","wrong and","i",3
"160497","at that","level",3
"160498","imagine for","a",3
"160516","would be","about",3
"160614","to the","screen",3
"160656","him about","his",3
"160703","up but","it",3
"160714","not only","were",3
"160718","struggling with","his",3
"160773","say the","results",3
"160784","months later","we",3
"160798","wrong i","have",3
"160823","a similar","situation",3
"160836","the only","difference",3
"160859","here but","i",3
"160863","i hope","he",3
"160877","known to","be",3
"160918","the priority","list",3
"160935","and back","up",3
"160998","some ways","i",3
"161026","scenes in","the",3
"161047","think thats","what",3
"161056","for having","the",3
"161058","im thankful","for",3
"161067","work hard","to",3
"161107","other half","of",3
"161111","used on","the",3
"161164","way the","author",3
"161173","it and","you",3
"161200","the media","has",3
"161279","the only","place",3
"161281","we were","feeling",3
"161295","at times","it",3
"161302","times it","seems",3
"161432","the excitement","of",3
"161441","that morning","i",3
"161483","sequel to","the",3
"161523","possible that","the",3
"161534","the film","it",3
"161613","these problems","have",3
"161627","in the","interest",3
"161698","who decided","that",3
"161707","was convinced","that",3
"161711","of these","the",3
"161753","to our","destination",3
"161769","was upset","that",3
"161785","between him","and",3
"161809","do something","with",3
"161854","to express","the",3
"161868","having a","conversation",3
"161908","on a","minute",3
"161915","was something","in",3
"161962","they listen","to",3
"162042","by now","and",3
"162050","now and","enjoy",3
"162075","imagine that","the",3
"162101","a clswearjar","and",3
"162115","a town","not",3
"162165","we may","have",3
"162193","id never","met",3
"162235","that he","just",3
"162245","comes home","and",3
"162302","put on","trial",3
"162332","in the","actual",3
"162341","who were","in",3
"162351","and the","differences",3
"162372","the biggest","and",3
"162404","your body","and",3
"162415","an adult","and",3
"162432","will begin","to",3
"162435","are and","the",3
"162447","of your","body",3
"162465","the base","and",3
"162474","on that","ride",3
"162498","in the","traditional",3
"162519","for the","afternoon",3
"162557","was halfway","through",3
"162569","but man","i",3
"162573","i picked","her",3
"162621","he saw","himself",3
"162661","in his","home",3
"162684","have a","huge",3
"162719","favorite things","about",3
"162786","take off","his",3
"162816","to the","word",3
"162843","to be","changed",3
"162870","down all","the",3
"162916","way and","then",3
"162969","he took","it",3
"162983","he let","me",3
"162991","then told","me",3
"163001","its a","small",3
"163008","about it","that",3
"163010","didnt even","think",3
"163114","to the","st",3
"163118","jesus answered","him",3
"163126","as i","think",3
"163132","off as","i",3
"163142","beer i","had",3
"163258","out a","bit",3
"163328","of a","mans",3
"163346","work and","in",3
"163470","do the","talking",3
"163506","i purchased","a",3
"163531","easier for","me",3
"163536","made it","easier",3
"163550","to their","new",3
"163586","found it","hard",3
"163628","on myself","to",3
"163668","but only","when",3
"163677","it i","can",3
"163755","moving over","the",3
